interaction_id,user_id,product_id,category,price,date,month,clicked,purchased,seasonal_multiplier,user_type
I0000030,U04697,E0044,electronics,568.12,2024-11-21,11,1,0,2.652,electronics_buyer
I0000031,U00609,E0253,electronics,895.64,2023-12-03,12,0,0,2.138,electronics_buyer
I0000032,U02353,F0495,fashion,201.63,2024-08-03,8,1,0,1.131,hybrid
I0000033,U07645,E0078,electronics,437.15,2024-08-22,8,1,0,1.651,electronics_buyer
I0000034,U00535,F0291,fashion,158.29,2023-04-02,4,0,0,1.477,hybrid
I0000035,U03291,E0235,electronics,1276.52,2023-11-21,11,0,0,1.471,hybrid
I0000036,U03757,F0429,fashion,29.55,2024-04-28,4,0,0,0.857,fashion_shopper
I0000037,U08948,F0239,fashion,49.0,2023-06-02,6,0,0,2.44,fashion_shopper
I0000038,U07157,E0042,electronics,1325.94,2023-12-10,12,0,0,2.342,electronics_buyer
I0000039,U03849,F0386,fashion,104.25,2023-07-07,7,0,0,1.927,fashion_shopper
I0000040,U08069,E0150,electronics,911.59,2023-10-12,10,1,0,0.702,electronics_buyer
I0000041,U08545,E0188,electronics,1441.6,2023-03-26,3,0,0,0.759,electronics_buyer
I0000042,U04830,E0247,electronics,1176.46,2023-12-27,12,1,1,2.208,electronics_buyer
I0000043,U04330,F0055,fashion,140.59,2023-08-28,8,0,0,2.357,fashion_shopper
I0000044,U08497,E0204,electronics,1133.74,2024-03-18,3,0,0,1.0,electronics_buyer
I0000045,U05229,E0124,electronics,1251.73,2023-01-14,1,0,0,0.54,electronics_buyer
I0000046,U02995,F0229,fashion,125.04,2023-04-28,4,0,0,0.996,hybrid
I0000047,U06970,F0270,fashion,191.02,2024-09-15,9,0,0,0.863,fashion_shopper
I0000048,U02214,E0168,electronics,266.77,2024-03-20,3,0,0,0.869,electronics_buyer
I0000049,U09401,F0122,fashion,244.48,2024-11-09,11,0,0,2.025,fashion_shopper
I0000050,U00275,E0129,electronics,661.31,2023-11-04,11,0,0,2.465,electronics_buyer
I0000051,U06153,F0388,fashion,45.15,2024-01-09,1,0,0,2.085,fashion_shopper
I0000052,U06553,F0244,fashion,281.01,2023-01-23,1,1,0,1.921,fashion_shopper
I0000053,U08338,E0167,electronics,131.76,2024-06-07,6,0,0,0.886,electronics_buyer
I0000054,U03548,F0451,fashion,154.71,2024-03-07,3,1,0,1.049,fashion_shopper
I0000055,U06972,F0229,fashion,125.04,2023-05-11,5,0,0,1.108,fashion_shopper
I0000056,U00851,E0054,electronics,1203.6,2023-05-31,5,1,1,0.87,electronics_buyer
I0000057,U04523,E0240,electronics,1271.43,2023-08-06,8,0,0,1.842,electronics_buyer
I0000058,U08679,F0168,fashion,201.31,2024-11-02,11,1,0,1.825,fashion_shopper
I0000059,U01553,F0229,fashion,125.04,2023-09-11,9,0,0,0.859,hybrid
I0000060,U01761,E0247,electronics,1176.46,2023-03-17,3,0,0,1.396,hybrid
I0000061,U08775,F0117,fashion,226.71,2024-07-01,7,0,0,2.095,fashion_shopper
I0000062,U06799,E0233,electronics,1493.98,2024-01-26,1,0,0,0.757,electronics_buyer
I0000063,U04310,F0050,fashion,142.69,2023-12-21,12,1,0,2.033,fashion_shopper
I0000064,U04605,F0001,fashion,122.8,2024-09-04,9,0,0,0.996,hybrid
I0000065,U08702,F0479,fashion,166.48,2024-11-30,11,0,0,1.687,fashion_shopper
I0000066,U07756,F0364,fashion,93.22,2023-06-02,6,0,0,2.072,fashion_shopper
I0000067,U03813,E0035,electronics,1173.89,2023-03-07,3,0,0,0.559,electronics_buyer
I0000068,U05891,E0150,electronics,911.59,2024-05-13,5,0,0,0.987,electronics_buyer
I0000069,U06888,F0132,fashion,99.18,2023-02-20,2,0,0,0.79,fashion_shopper
I0000070,U06194,E0108,electronics,525.27,2024-06-06,6,1,0,0.904,electronics_buyer
I0000071,U08147,F0179,fashion,43.57,2024-11-11,11,0,0,1.099,hybrid
I0000072,U03202,F0029,fashion,108.55,2023-04-24,4,1,0,1.085,fashion_shopper
I0000073,U00342,F0132,fashion,99.18,2023-10-17,10,0,0,0.851,fashion_shopper
I0000074,U07745,E0120,electronics,1393.57,2023-03-10,3,0,0,0.966,electronics_buyer
I0000075,U01423,F0250,fashion,37.59,2024-01-30,1,0,0,1.692,fashion_shopper
I0000076,U08337,E0023,electronics,1407.41,2024-09-03,9,1,0,1.55,electronics_buyer
I0000077,U04557,E0075,electronics,229.72,2024-07-03,7,0,0,0.55,electronics_buyer
I0000078,U09107,F0102,fashion,140.52,2023-03-28,3,0,0,1.209,hybrid
I0000079,U06647,F0128,fashion,218.82,2023-12-05,12,0,0,1.219,hybrid
I0000080,U01911,E0131,electronics,146.18,2024-04-15,4,0,0,1.031,hybrid
I0000081,U01339,F0406,fashion,128.65,2023-01-08,1,0,0,2.168,fashion_shopper
I0000082,U02246,F0221,fashion,276.65,2024-11-15,11,0,0,1.824,fashion_shopper
I0000083,U06446,F0391,fashion,67.11,2024-03-07,3,0,0,0.958,hybrid
I0000084,U02951,E0072,electronics,529.29,2023-06-23,6,0,0,0.692,electronics_buyer
I0000085,U00497,F0067,fashion,64.85,2023-12-22,12,0,0,1.771,fashion_shopper
I0000086,U00790,F0168,fashion,201.31,2024-05-16,5,0,0,0.879,fashion_shopper
I0000087,U08201,F0225,fashion,177.02,2023-08-20,8,0,0,1.907,fashion_shopper
I0000088,U03098,F0071,fashion,242.48,2024-02-18,2,0,0,0.676,fashion_shopper
I0000089,U08184,F0293,fashion,117.51,2023-11-08,11,1,0,1.775,fashion_shopper
I0000090,U02816,E0244,electronics,292.79,2024-04-09,4,0,0,0.664,electronics_buyer
I0000091,U00326,E0000,electronics,750.08,2023-01-30,1,0,0,0.89,electronics_buyer
I0000092,U00882,F0025,fashion,128.48,2024-01-14,1,0,0,2.104,fashion_shopper
I0000093,U01671,E0097,electronics,678.31,2024-09-24,9,0,0,1.066,hybrid
I0000094,U05002,E0141,electronics,1057.85,2023-04-22,4,1,1,0.838,hybrid
I0000095,U08929,F0354,fashion,199.98,2024-04-15,4,0,0,1.171,hybrid
I0000096,U02174,F0250,fashion,37.59,2023-09-02,9,0,0,0.73,fashion_shopper
I0000097,U05235,F0260,fashion,47.84,2023-08-16,8,1,0,1.965,fashion_shopper
I0000098,U00923,E0011,electronics,1164.87,2024-07-11,7,0,0,0.846,electronics_buyer
I0000099,U04266,E0231,electronics,1290.82,2023-12-11,12,1,0,2.296,electronics_buyer
I0000100,U08112,F0194,fashion,64.89,2024-09-08,9,0,0,1.339,hybrid
I0000101,U02824,F0000,fashion,33.21,2023-06-16,6,1,0,2.193,fashion_shopper
I0000102,U05107,F0022,fashion,205.11,2023-05-19,5,0,0,0.804,fashion_shopper
I0000103,U06869,F0408,fashion,25.64,2024-10-04,10,0,0,1.011,hybrid
I0000104,U05720,F0262,fashion,264.63,2024-09-21,9,1,0,0.76,fashion_shopper
I0000105,U09345,E0027,electronics,1021.55,2023-10-30,10,0,0,1.212,hybrid
I0000106,U02070,E0077,electronics,57.99,2023-12-08,12,0,0,2.122,electronics_buyer
I0000107,U07346,E0008,electronics,1099.77,2024-10-30,10,0,0,0.879,electronics_buyer
I0000108,U06544,E0178,electronics,904.41,2023-02-09,2,0,0,0.954,electronics_buyer
I0000109,U04600,F0043,fashion,259.63,2023-01-08,1,0,0,1.967,fashion_shopper
I0000110,U00920,E0278,electronics,731.35,2023-08-31,8,0,0,1.132,hybrid
I0000111,U06091,E0125,electronics,279.14,2024-08-01,8,0,0,1.888,electronics_buyer
I0000112,U03482,F0438,fashion,192.85,2023-06-27,6,0,0,2.061,fashion_shopper
I0000113,U06472,E0090,electronics,54.85,2024-09-09,9,0,0,1.741,electronics_buyer
I0000114,U01443,F0186,fashion,176.44,2024-12-19,12,0,0,1.616,fashion_shopper
I0000115,U02801,E0214,electronics,975.93,2023-06-04,6,0,0,0.971,hybrid
I0000116,U01775,F0450,fashion,134.03,2023-03-29,3,0,0,1.132,fashion_shopper
I0000117,U08220,F0272,fashion,93.51,2024-03-12,3,0,0,0.988,hybrid
I0000118,U02292,F0045,fashion,16.49,2023-09-03,9,0,0,0.883,fashion_shopper
I0000119,U03703,F0355,fashion,295.02,2024-02-24,2,0,0,0.927,hybrid
I0000120,U00825,F0317,fashion,24.35,2024-11-12,11,0,0,0.84,hybrid
I0000121,U07711,F0308,fashion,29.06,2023-10-13,10,0,0,0.916,fashion_shopper
I0000122,U03741,F0098,fashion,265.18,2023-09-28,9,0,0,1.147,hybrid
I0000123,U08330,E0289,electronics,1361.83,2023-07-18,7,0,0,0.724,electronics_buyer
I0000124,U04452,F0169,fashion,286.47,2023-06-02,6,0,0,1.382,hybrid
I0000125,U02259,F0299,fashion,79.15,2024-05-01,5,0,0,0.989,fashion_shopper
I0000126,U01162,F0386,fashion,104.25,2023-07-05,7,1,0,2.217,fashion_shopper
I0000127,U03439,E0239,electronics,577.56,2023-08-30,8,0,0,0.978,hybrid
I0000128,U02533,F0392,fashion,54.63,2024-01-11,1,0,0,1.911,fashion_shopper
I0000129,U05612,F0160,fashion,238.32,2023-05-15,5,0,0,0.876,hybrid
I0000130,U09551,F0169,fashion,286.47,2024-10-09,10,0,0,1.125,hybrid
I0000131,U07930,E0298,electronics,289.09,2024-12-30,12,0,0,1.012,hybrid
I0000132,U02225,E0060,electronics,361.6,2024-12-28,12,0,0,2.923,electronics_buyer
I0000133,U03672,E0272,electronics,1157.72,2024-07-16,7,0,0,0.522,electronics_buyer
I0000134,U02160,E0147,electronics,1063.92,2023-05-04,5,0,0,0.723,electronics_buyer
I0000135,U08474,E0230,electronics,76.28,2024-09-22,9,0,0,1.091,hybrid
I0000136,U09331,E0173,electronics,387.55,2024-11-30,11,0,0,2.753,electronics_buyer
I0000137,U01797,F0216,fashion,199.36,2023-06-10,6,1,0,2.434,fashion_shopper
I0000138,U09382,E0246,electronics,692.47,2023-08-03,8,1,1,1.854,electronics_buyer
I0000139,U01244,E0211,electronics,1219.58,2023-05-20,5,0,0,0.883,electronics_buyer
I0000140,U07069,F0036,fashion,44.39,2024-12-19,12,0,0,1.631,fashion_shopper
I0000141,U07893,F0307,fashion,255.69,2024-09-09,9,0,0,0.855,fashion_shopper
I0000142,U04408,F0495,fashion,201.63,2023-02-27,2,1,0,0.912,fashion_shopper
I0000143,U01930,E0034,electronics,252.29,2023-06-20,6,0,0,0.683,electronics_buyer
I0000144,U02518,E0157,electronics,1141.14,2023-07-04,7,0,0,0.898,electronics_buyer
I0000145,U00047,E0279,electronics,1495.87,2024-08-03,8,0,0,1.569,electronics_buyer
I0000146,U00133,F0044,fashion,138.41,2024-04-05,4,1,0,0.884,fashion_shopper
I0000147,U05675,F0478,fashion,99.6,2024-02-09,2,0,0,0.669,fashion_shopper
I0000148,U02364,E0289,electronics,1361.83,2023-10-04,10,0,0,0.548,electronics_buyer
I0000149,U03509,F0427,fashion,172.25,2023-02-17,2,0,0,0.731,fashion_shopper
I0000150,U07153,E0163,electronics,239.11,2023-05-12,5,0,0,1.157,hybrid
I0000151,U04094,F0019,fashion,63.47,2024-02-05,2,0,0,0.878,fashion_shopper
I0000152,U02537,F0045,fashion,16.49,2023-02-01,2,0,0,0.817,fashion_shopper
I0000153,U07996,F0305,fashion,243.32,2023-05-11,5,0,0,1.19,fashion_shopper
I0000154,U05984,F0095,fashion,157.3,2024-01-12,1,0,0,1.773,fashion_shopper
I0000155,U02471,F0026,fashion,146.66,2023-08-12,8,0,0,1.061,hybrid
I0000156,U02434,F0028,fashion,91.92,2024-11-23,11,0,0,1.025,hybrid
I0000157,U05021,F0334,fashion,129.2,2023-05-24,5,1,0,0.88,fashion_shopper
I0000158,U04335,F0248,fashion,149.17,2023-08-19,8,0,0,2.0,fashion_shopper
I0000159,U03522,F0057,fashion,72.69,2024-11-04,11,0,0,1.618,fashion_shopper
I0000160,U02305,F0414,fashion,133.83,2024-04-01,4,0,0,0.991,fashion_shopper
I0000161,U05287,F0102,fashion,140.52,2024-09-21,9,1,0,0.724,fashion_shopper
I0000162,U00663,F0386,fashion,104.25,2023-06-11,6,0,0,2.168,fashion_shopper
I0000163,U05681,E0202,electronics,147.2,2023-04-17,4,0,0,0.521,electronics_buyer
I0000164,U07443,E0200,electronics,693.39,2024-09-26,9,1,0,1.77,electronics_buyer
I0000165,U05944,F0461,fashion,25.75,2023-08-20,8,0,0,0.837,hybrid
I0000166,U07774,F0009,fashion,70.35,2023-06-29,6,1,0,2.131,fashion_shopper
I0000167,U04849,F0430,fashion,16.27,2023-04-13,4,0,0,1.131,fashion_shopper
I0000168,U04200,F0119,fashion,246.65,2023-03-18,3,0,0,1.061,hybrid
I0000169,U07097,F0238,fashion,90.11,2023-09-23,9,0,0,0.686,fashion_shopper
I0000170,U05022,E0273,electronics,922.19,2023-11-30,11,0,0,1.157,hybrid
I0000171,U03492,F0164,fashion,188.88,2024-04-21,4,0,0,1.159,hybrid
I0000172,U05468,F0355,fashion,295.02,2023-09-03,9,0,0,1.411,hybrid
I0000173,U07939,E0216,electronics,768.91,2024-02-06,2,0,0,0.755,electronics_buyer
I0000174,U09145,F0020,fashion,58.14,2024-07-21,7,1,0,1.973,fashion_shopper
I0000175,U01673,F0397,fashion,54.88,2024-04-11,4,0,0,0.827,hybrid
I0000176,U01342,F0186,fashion,176.44,2023-05-23,5,0,0,1.001,hybrid
I0000177,U08431,E0112,electronics,97.23,2024-08-17,8,0,0,1.796,electronics_buyer
I0000178,U06570,E0175,electronics,1394.69,2023-07-06,7,0,0,0.697,electronics_buyer
I0000179,U03049,F0065,fashion,177.82,2024-10-22,10,0,0,0.777,fashion_shopper
I0000180,U06283,E0012,electronics,361.99,2024-05-26,5,0,0,0.658,electronics_buyer
I0000181,U04247,F0495,fashion,201.63,2023-05-03,5,0,0,1.088,fashion_shopper
I0000182,U06574,F0219,fashion,188.28,2023-12-28,12,0,0,1.843,fashion_shopper
I0000183,U09655,E0159,electronics,786.07,2023-06-10,6,0,0,0.794,electronics_buyer
I0000184,U05331,F0141,fashion,148.18,2023-10-03,10,0,0,0.918,fashion_shopper
I0000185,U00399,E0189,electronics,271.97,2024-12-08,12,1,0,2.825,electronics_buyer
I0000186,U01937,F0305,fashion,243.32,2024-08-16,8,1,0,1.243,hybrid
I0000187,U08373,E0006,electronics,1229.85,2023-03-10,3,0,0,0.675,electronics_buyer
I0000188,U01074,E0153,electronics,834.65,2024-08-27,8,0,0,1.357,hybrid
I0000189,U02573,E0270,electronics,731.41,2024-11-20,11,1,0,2.141,electronics_buyer
I0000190,U02397,F0379,fashion,242.8,2024-03-13,3,0,0,0.835,fashion_shopper
I0000191,U09273,F0415,fashion,275.67,2024-03-07,3,0,0,1.016,fashion_shopper
I0000192,U00418,E0083,electronics,1391.56,2023-08-17,8,0,0,1.533,electronics_buyer
I0000193,U09352,F0072,fashion,201.34,2024-06-24,6,0,0,1.247,hybrid
I0000194,U00639,F0408,fashion,25.64,2024-03-18,3,0,0,1.067,fashion_shopper
I0000195,U02084,E0187,electronics,1366.45,2023-02-26,2,0,0,0.99,electronics_buyer
I0000196,U04589,E0252,electronics,709.94,2023-08-09,8,0,0,1.814,electronics_buyer
I0000197,U00358,E0239,electronics,577.56,2024-08-12,8,1,0,0.84,hybrid
I0000198,U01803,F0238,fashion,90.11,2024-03-02,3,0,0,0.992,fashion_shopper
I0000199,U05204,E0004,electronics,201.9,2024-03-11,3,0,0,1.385,hybrid
I0000200,U07889,F0499,fashion,289.58,2024-12-18,12,1,1,1.804,fashion_shopper
I0000201,U00538,E0046,electronics,1438.47,2024-03-08,3,0,0,0.81,electronics_buyer
I0000202,U04439,F0414,fashion,133.83,2023-12-24,12,0,0,1.606,fashion_shopper
I0000203,U06888,F0411,fashion,266.17,2023-11-07,11,0,0,1.953,fashion_shopper
I0000204,U09905,F0106,fashion,116.0,2024-10-02,10,1,0,0.899,fashion_shopper
I0000205,U00865,E0128,electronics,984.02,2024-12-26,12,0,0,2.006,electronics_buyer
I0000206,U06028,E0089,electronics,51.12,2023-06-18,6,0,0,0.985,electronics_buyer
I0000207,U08967,E0282,electronics,52.07,2024-03-15,3,1,0,0.708,electronics_buyer
I0000208,U04671,F0238,fashion,90.11,2024-10-09,10,0,0,1.063,hybrid
I0000209,U01035,E0185,electronics,949.65,2023-11-30,11,0,0,2.177,electronics_buyer
I0000210,U08552,E0135,electronics,1253.02,2023-05-09,5,0,0,0.896,electronics_buyer
I0000211,U02819,F0338,fashion,282.07,2024-03-31,3,0,0,1.146,fashion_shopper
I0000212,U08487,E0103,electronics,1230.77,2023-10-10,10,0,0,0.973,electronics_buyer
I0000213,U01426,F0055,fashion,140.59,2024-07-05,7,0,0,2.246,fashion_shopper
I0000214,U05494,E0248,electronics,596.2,2024-10-16,10,0,0,0.745,electronics_buyer
I0000215,U00692,E0161,electronics,274.33,2023-10-23,10,0,0,0.591,electronics_buyer
I0000216,U07593,F0490,fashion,193.36,2023-09-23,9,0,0,1.073,hybrid
I0000217,U01067,F0402,fashion,240.53,2023-06-24,6,0,0,2.45,fashion_shopper
I0000218,U01132,F0327,fashion,46.0,2024-09-14,9,0,0,0.815,fashion_shopper
I0000219,U09313,F0214,fashion,201.53,2024-04-08,4,0,0,1.115,fashion_shopper
I0000220,U07612,F0032,fashion,262.69,2023-10-01,10,0,0,1.351,hybrid
I0000221,U09433,F0069,fashion,114.2,2023-04-04,4,0,0,0.963,fashion_shopper
I0000222,U00946,F0449,fashion,267.84,2023-01-17,1,0,0,1.907,fashion_shopper
I0000223,U01615,E0154,electronics,795.68,2023-04-04,4,0,0,0.861,electronics_buyer
I0000224,U08254,F0398,fashion,62.14,2024-04-20,4,0,0,1.105,fashion_shopper
I0000225,U05715,F0347,fashion,178.8,2024-12-18,12,1,1,1.737,fashion_shopper
I0000226,U06069,F0404,fashion,179.07,2023-10-18,10,0,0,0.822,fashion_shopper
I0000227,U00393,E0257,electronics,1393.91,2024-08-18,8,0,0,1.651,electronics_buyer
I0000228,U09718,F0414,fashion,133.83,2024-11-19,11,1,0,1.72,fashion_shopper
I0000229,U07534,F0395,fashion,108.64,2023-07-19,7,0,0,0.957,hybrid
I0000230,U09693,F0189,fashion,83.44,2023-12-04,12,0,0,1.066,hybrid
I0000231,U07422,F0015,fashion,49.29,2024-12-30,12,0,0,2.156,fashion_shopper
I0000232,U06202,F0009,fashion,70.35,2023-05-29,5,1,0,1.312,hybrid
I0000233,U00519,F0340,fashion,221.62,2023-10-07,10,0,0,0.615,fashion_shopper
I0000234,U00388,E0143,electronics,559.15,2024-03-20,3,1,0,0.9,electronics_buyer
I0000235,U00587,F0254,fashion,206.79,2023-03-22,3,0,0,1.081,fashion_shopper
I0000236,U03497,F0277,fashion,221.65,2024-07-29,7,0,0,1.454,hybrid
I0000237,U07669,F0331,fashion,59.28,2024-09-09,9,0,0,0.861,fashion_shopper
I0000238,U02571,F0141,fashion,148.18,2024-03-01,3,0,0,0.937,hybrid
I0000239,U08471,F0295,fashion,39.05,2023-03-16,3,0,0,1.118,fashion_shopper
I0000240,U06708,E0269,electronics,604.11,2023-04-05,4,0,0,0.907,electronics_buyer
I0000241,U08996,F0033,fashion,102.0,2023-08-06,8,1,1,2.408,fashion_shopper
I0000242,U08266,E0131,electronics,146.18,2024-03-02,3,1,0,0.906,electronics_buyer
I0000243,U02985,F0281,fashion,247.59,2023-07-13,7,0,0,0.878,hybrid
I0000244,U00709,E0215,electronics,609.26,2024-03-21,3,1,0,0.902,electronics_buyer
I0000245,U03662,F0422,fashion,99.01,2023-09-25,9,0,0,0.792,fashion_shopper
I0000246,U04630,F0245,fashion,287.2,2024-11-16,11,0,0,1.673,fashion_shopper
I0000247,U01430,E0100,electronics,1008.34,2023-08-13,8,0,0,1.897,electronics_buyer
I0000248,U04991,E0048,electronics,1337.42,2023-11-22,11,1,0,2.322,electronics_buyer
I0000249,U05067,F0454,fashion,229.36,2024-05-05,5,0,0,0.9,fashion_shopper
I0000250,U08838,F0164,fashion,188.88,2023-02-10,2,0,0,1.185,hybrid
I0000251,U02038,F0459,fashion,252.75,2023-03-11,3,0,0,0.815,fashion_shopper
I0000252,U04133,E0113,electronics,433.62,2023-02-01,2,0,0,0.91,electronics_buyer
I0000253,U05351,F0255,fashion,167.99,2024-07-20,7,0,0,1.379,hybrid
I0000254,U02215,F0495,fashion,201.63,2024-05-24,5,0,0,0.816,fashion_shopper
I0000255,U03356,E0078,electronics,437.15,2023-05-14,5,0,0,0.604,electronics_buyer
I0000256,U00102,F0332,fashion,170.92,2024-02-26,2,0,0,0.996,fashion_shopper
I0000257,U08336,F0376,fashion,126.13,2023-12-05,12,0,0,0.979,hybrid
I0000258,U08946,E0087,electronics,742.51,2024-04-04,4,0,0,0.999,electronics_buyer
I0000259,U06803,E0228,electronics,102.05,2023-01-19,1,0,0,0.787,electronics_buyer
I0000260,U04461,E0106,electronics,1299.87,2024-06-24,6,0,0,0.535,electronics_buyer
I0000261,U06296,F0332,fashion,170.92,2023-02-08,2,0,0,0.688,fashion_shopper
I0000262,U06565,F0275,fashion,268.46,2024-02-24,2,1,0,0.971,fashion_shopper
I0000263,U06462,E0009,electronics,103.63,2023-09-08,9,0,0,1.313,hybrid
I0000264,U00082,F0440,fashion,187.98,2023-03-28,3,0,0,0.834,fashion_shopper
I0000265,U09503,F0141,fashion,148.18,2024-10-14,10,0,0,0.866,hybrid
I0000266,U07963,E0189,electronics,271.97,2024-10-16,10,0,0,0.735,electronics_buyer
I0000267,U05990,F0192,fashion,189.0,2024-07-20,7,0,0,1.94,fashion_shopper
I0000268,U05752,F0378,fashion,206.26,2024-02-24,2,0,0,0.872,fashion_shopper
I0000269,U06222,F0012,fashion,50.35,2023-10-10,10,0,0,0.925,fashion_shopper
I0000270,U03668,F0168,fashion,201.31,2024-09-18,9,0,0,0.888,fashion_shopper
I0000271,U01615,E0243,electronics,65.36,2023-04-05,4,0,0,0.677,electronics_buyer
I0000272,U04246,F0276,fashion,160.62,2023-04-26,4,0,0,1.047,fashion_shopper
I0000273,U02062,E0159,electronics,786.07,2024-11-05,11,0,0,1.292,hybrid
I0000274,U08971,E0174,electronics,608.34,2024-01-22,1,0,0,0.956,electronics_buyer
I0000275,U07555,F0330,fashion,196.24,2023-12-05,12,0,0,1.695,fashion_shopper
I0000276,U01058,E0208,electronics,696.53,2023-07-14,7,0,0,0.954,electronics_buyer
I0000277,U02398,E0016,electronics,397.14,2023-08-07,8,0,0,1.97,electronics_buyer
I0000278,U02330,F0478,fashion,99.6,2023-11-25,11,0,0,1.818,fashion_shopper
I0000279,U01759,E0228,electronics,102.05,2024-04-09,4,0,0,0.715,electronics_buyer
I0000280,U00427,E0028,electronics,473.88,2024-03-09,3,0,0,0.913,hybrid
I0000281,U05377,F0367,fashion,291.4,2024-02-28,2,0,0,0.645,fashion_shopper
I0000282,U05029,F0368,fashion,98.68,2023-06-08,6,1,0,2.184,fashion_shopper
I0000283,U03876,F0000,fashion,33.21,2023-06-28,6,0,0,1.925,fashion_shopper
I0000284,U02116,F0184,fashion,235.95,2023-08-30,8,1,0,2.362,fashion_shopper
I0000285,U00559,E0175,electronics,1394.69,2023-04-30,4,0,0,0.618,electronics_buyer
I0000286,U05441,F0079,fashion,108.52,2024-08-04,8,0,0,1.896,fashion_shopper
I0000287,U09577,E0045,electronics,492.44,2023-04-02,4,0,0,0.936,electronics_buyer
I0000288,U02617,F0041,fashion,19.56,2024-01-13,1,0,0,1.909,fashion_shopper
I0000289,U00589,F0446,fashion,27.74,2023-08-29,8,0,0,1.905,fashion_shopper
I0000290,U00498,E0034,electronics,252.29,2024-10-23,10,0,0,1.392,hybrid
I0000291,U06347,E0053,electronics,370.77,2023-02-25,2,0,0,0.973,hybrid
I0000292,U07904,F0497,fashion,203.74,2023-06-19,6,0,0,2.306,fashion_shopper
I0000293,U09721,E0054,electronics,1203.6,2023-11-27,11,0,0,2.985,electronics_buyer
I0000294,U09830,F0179,fashion,43.57,2024-04-03,4,0,0,1.109,fashion_shopper
I0000295,U09324,F0337,fashion,197.73,2024-05-29,5,0,0,0.889,fashion_shopper
I0000296,U07432,F0303,fashion,184.23,2024-02-26,2,0,0,0.993,fashion_shopper
I0000297,U05956,F0143,fashion,230.98,2024-07-01,7,1,1,2.336,fashion_shopper
I0000298,U04483,E0087,electronics,742.51,2023-01-03,1,0,0,0.559,electronics_buyer
I0000299,U08607,F0090,fashion,215.06,2023-03-30,3,0,0,1.064,fashion_shopper
I0000300,U04996,F0322,fashion,100.13,2024-04-18,4,0,0,0.883,fashion_shopper
I0000301,U01591,F0124,fashion,96.96,2023-01-21,1,1,0,0.972,hybrid
I0000302,U04407,F0009,fashion,70.35,2024-07-03,7,1,1,2.238,fashion_shopper
I0000303,U03883,F0481,fashion,281.28,2024-08-28,8,0,0,1.925,fashion_shopper
I0000304,U01607,E0296,electronics,531.9,2023-09-30,9,0,0,1.037,hybrid
